Year,Habitat_Region,Avg_Daily_Precip,Status,Plant_Species_Count
2028, wet lowlands,25.19,Suitable,1
2028, scrub margins,25.19,Stable,1
2028, Wet forest edges,25.19,Suitable,1
2028, Intermediate home gardens,25.19,Unsuitable,1
2028, canals,25.19,Stable,2
2028, paddy fields,25.19,Stable,1
2028, marsh edges,25.19,Stable,1
2028,Shallow freshwater wetlands,25.19,Suitable,1
2028, Intermediate disturbed soils,25.19,Unsuitable,1
2028,Wet and Intermediate zones,25.19,Suitable,5
2028,Dry and Intermediate zones,25.19,Unsuitable,5
2028,Cultivated,25.19,Stable,19
2028, home gardens,25.19,Stable,2
2028,Dry zone forests,25.19,Unsuitable,4
2028,Intermediate and Dry zones,25.19,Unsuitable,3
2028,Wet zone,25.19,Suitable,2
2028,Upcountry wet zone,25.19,Suitable,2
2028,Home gardens,25.19,Stable,8
2028,Grasslands,25.19,Stable,3
2028, common weed,25.19,Stable,1
2028,Dry zone,25.19,Unsuitable,5
2028,Dry and Arid zones,25.19,Unsuitable,1
2028,Common weed,25.19,Stable,1
2028,Lowland forests,25.19,Stable,1
2028,Common grass,25.19,Stable,1
2028,Coastal and Intermediate,25.19,Unsuitable,1
2028,Moist lowlands,25.19,Stable,1
2028,Coastal areas,25.19,Likely Suitable,1
2028,Lowlands,25.19,Stable,1
2028,Mangrove areas,25.19,Stable,1
2028,Intermediate and Wet zones,25.19,Suitable,1
2028,Wet zone plantations,25.19,Suitable,1
2028,Wet zone forests,25.19,Suitable,1
2028,Coastal and Lowland,25.19,Likely Suitable,1
2028, marshes,25.19,Stable,1
2028,Dry forests,25.19,Unsuitable,4
2028,Dry scrublands,25.19,Unsuitable,8
2028,Cultivated grains,25.19,Stable,1
2028,Wet forests,25.19,Suitable,6
2028,Wet & Intermediate,25.19,Suitable,3
2028,Dry & Intermediate,25.19,Unsuitable,2
2028,Cultivated gardens,25.19,Stable,4
2028, wetlands,25.19,Suitable,1
2028, streams,25.19,Stable,1
2028,Forest edges,25.19,Stable,3
2028,Forest margins,25.19,Stable,1
2028,Scrublands,25.19,Stable,1
2028,Wet lowlands,25.19,Suitable,2
2028,Riverine margins,25.19,Stable,1
2028,Riverine zones,25.19,Stable,1
2028,Wet forest margins,25.19,Suitable,1
2028,Coastal lowlands,25.19,Likely Suitable,1
2028,Rainforest margins,25.19,Stable,1
2028,Paddy margins,25.19,Stable,1
2028,Disturbed soils,25.19,Stable,1
2028, Wet gardens,25.19,Suitable,1
2028,Riverbanks,25.19,Stable,1
2028,Dry/intermediate scrublands,25.19,Unsuitable,4
2028,"Dry zone, roadsides",25.19,Unsuitable,1
2028,Wet/intermediate marshlands,25.19,Suitable,1
2028,Dry/intermediate,25.19,Unsuitable,1
2028,Wet/intermediate home gardens,25.19,Suitable,1
2028,Dry/intermediate home gardens,25.19,Unsuitable,3
2028,Wet/intermediate coastal zones,25.19,Suitable,1
2028,Dry/intermediate forests,25.19,Unsuitable,2
2028,Wet/intermediate,25.19,Suitable,1
2028,Coastal/wet zones,25.19,Suitable,1
2029,Dry,25.04,Unsuitable,173
2029, Intermediate,25.04,Unsuitable,241
2029, Wet lowlands,25.04,Suitable,2
2029, Wet,25.04,Suitable,20
2029,Wet,25.04,Suitable,68
2029, Upcountry,25.04,Stable,8
2029, Dry home gardens,25.04,Unsuitable,2
2029, Dry zone margins,25.04,Unsuitable,1
2029,Intermediate,25.04,Unsuitable,9
2029, Dry,25.04,Unsuitable,18
2029, Wet home gardens,25.04,Suitable,3
2029, Arid,25.04,Stable,6
2029,Dry tank-bunds,25.04,Unsuitable,3
2029, cultivated,25.04,Stable,1
2029,Dry grasslands,25.04,Unsuitable,4
2029,Coastal,25.04,Likely Suitable,17
2029,Intermediate riverbanks,25.04,Unsuitable,2
2029, Dry riverine,25.04,Unsuitable,2
2029,Coastal estuaries,25.04,Likely Suitable,3
2029, lagoons,25.04,Stable,2
2029,Coastal wetlands,25.04,Suitable,2
2029, estuaries,25.04,Stable,2
2029,Coastal mangroves,25.04,Likely Suitable,4
2029,Coastal saline zones,25.04,Likely Suitable,2
2029,Wet-Intermediate transitions,25.04,Suitable,2
2029, low-country,25.04,Stable,2
2029,Wet and Intermediate forests,25.04,Suitable,2
2029,Lowland rainforest margins,25.04,Stable,2
2029, roadsides/grasslands,25.04,Stable,1
2029, cultivated and wild margins,25.04,Stable,1
2029, home-garden margins,25.04,Stable,2
2029, Wet forest margins,25.04,Suitable,2
2029, scrublands/home fences,25.04,Stable,1
2029, widely cultivated/home gardens,25.04,Stable,1
2029, riverine and deciduous zones,25.04,Stable,1
2029, Intermediate scrub and forest edges,25.04,Unsuitable,1
2029, Intermediate lowlands,25.04,Unsuitable,2
2029,Upcountry,25.04,Stable,5
2029, Intermediate montane margins,25.04,Unsuitable,1
2029, Intermediate forest margins,25.04,Unsuitable,2
2029, Intermediate scrublands,25.04,Unsuitable,2
2029, Intermediate forest edges,25.04,Unsuitable,1
2029,Wet-zone forest margins,25.04,Suitable,1
2029, Intermediate grasslands,25.04,Unsuitable,2
2029, riverine margins,25.04,Stable,1
2029,Wetlands,25.04,Suitable,11
2029, paddy margins,25.04,Stable,3
2029, lowlands,25.04,Stable,1
2029,Tanks,25.04,Stable,2
2029, ponds,25.04,Stable,3
2029, slow freshwater bodies,25.04,Stable,1
2029,Lakes,25.04,Stable,2
2029, tanks,25.04,Stable,1
2029, freshwater wetlands,25.04,Suitable,1
2029,Marshes,25.04,Stable,4
2029, stream edges,25.04,Stable,1
2029, wet lowlands,25.04,Suitable,1
2029, scrub margins,25.04,Stable,1
2029, Wet forest edges,25.04,Suitable,1
2029, Intermediate home gardens,25.04,Unsuitable,1
2029, canals,25.04,Stable,2
2029, paddy fields,25.04,Stable,1
2029, marsh edges,25.04,Stable,1
2029,Shallow freshwater wetlands,25.04,Suitable,1
2029, Intermediate disturbed soils,25.04,Unsuitable,1
2029,Wet and Intermediate zones,25.04,Suitable,5
2029,Dry and Intermediate zones,25.04,Unsuitable,5
2029,Cultivated,25.04,Stable,19
2029, home gardens,25.04,Stable,2
2029,Dry zone forests,25.04,Unsuitable,4
2029,Intermediate and Dry zones,25.04,Unsuitable,3
2029,Wet zone,25.04,Suitable,2
2029,Upcountry wet zone,25.04,Suitable,2
2029,Home gardens,25.04,Stable,8
2029,Grasslands,25.04,Stable,3
2029, common weed,25.04,Stable,1
2029,Dry zone,25.04,Unsuitable,5
2029,Dry and Arid zones,25.04,Unsuitable,1
2029,Common weed,25.04,Stable,1
2029,Lowland forests,25.04,Stable,1
2029,Common grass,25.04,Stable,1
2029,Coastal and Intermediate,25.04,Unsuitable,1
2029,Moist lowlands,25.04,Stable,1
2029,Coastal areas,25.04,Likely Suitable,1
2029,Lowlands,25.04,Stable,1
2029,Mangrove areas,25.04,Stable,1
2029,Intermediate and Wet zones,25.04,Suitable,1
2029,Wet zone plantations,25.04,Suitable,1
2029,Wet zone forests,25.04,Suitable,1
2029,Coastal and Lowland,25.04,Likely Suitable,1
2029, marshes,25.04,Stable,1
2029,Dry forests,25.04,Unsuitable,4
2029,Dry scrublands,25.04,Unsuitable,8
2029,Cultivated grains,25.04,Stable,1
2029,Wet forests,25.04,Suitable,6
2029,Wet & Intermediate,25.04,Suitable,3
2029,Dry & Intermediate,25.04,Unsuitable,2
2029,Cultivated gardens,25.04,Stable,4
2029, wetlands,25.04,Suitable,1
2029, streams,25.04,Stable,1
2029,Forest edges,25.04,Stable,3
2029,Forest margins,25.04,Stable,1
2029,Scrublands,25.04,Stable,1
2029,Wet lowlands,25.04,Suitable,2
2029,Riverine margins,25.04,Stable,1
2029,Riverine zones,25.04,Stable,1
2029,Wet forest margins,25.04,Suitable,1
2029,Coastal lowlands,25.04,Likely Suitable,1
2029,Rainforest margins,25.04,Stable,1
2029,Paddy margins,25.04,Stable,1
2029,Disturbed soils,25.04,Stable,1
